image_file,category,subcategory,H,FA,n_resp,memoir_mem_score_yfa,memoir_mem_score_nfa,mean_response_time
000000003832.jpg,vehicle,pleasure boat,44,19,68,0.367647058823529,0.647058823529412,657.360655737705
000000005099.jpg,animal,sheep,90,13,146,0.527397260273973,0.616438356164384,666.20618556701
000000009768.jpg,food,banana,81,16,86,0.755813953488372,0.941860465116279,598.373626373626
000000010196.jpg,food,orange,68,9,84,0.702380952380952,0.80952380952381,605.513888888889
000000011373.jpg,animal,sheep,66,19,86,0.546511627906977,0.767441860465116,653.3
000000019579.jpg,food,sandwich,58,18,73,0.547945205479452,0.794520547945205,645.845070422535
000000021048.jpg,animal,dog,62,3,85,0.694117647058823,0.729411764705882,752.655737704918
000000025358.jpg,sports,soccer,52,15,81,0.45679012345679,0.641975308641975,668.269841269841
000000027482.jpg,sports,skateboarding,69,8,83,0.734939759036145,0.831325301204819,656.260273972603
000000027798.jpg,sports,skiing,41,9,71,0.450704225352113,0.577464788732394,702.085106382979
000000028864.jpg,food,apple,64,7,85,0.670588235294118,0.752941176470588,628.892307692308
000000033633.jpg,food,sandwich,130,35,154,0.616883116883117,0.844155844155844,648.186666666667
000000035156.jpg,animal,sheep,50,4,84,0.547619047619048,0.595238095238095,608.980392156863
000000036544.jpg,food,cake,137,12,156,0.801282051282051,0.878205128205128,644.102941176471
000000037823.jpg,animal,sheep,65,12,77,0.688311688311688,0.844155844155844,649.315068493151
000000043655.jpg,animal,cat,131,11,148,0.810810810810811,0.885135135135135,700.192592592593
000000043758.jpg,animal,sheep,100,24,148,0.513513513513513,0.675675675675676,661.09243697479
000000045599.jpg,animal,giraffe,71,13,83,0.698795180722892,0.855421686746988,573.493670886076
000000045617.jpg,animal,elephant,64,17,83,0.566265060240964,0.771084337349398,650.589743589744
000000047907.jpg,food,orange,74,4,88,0.795454545454545,0.840909090909091,627.972972972973
000000053360.jpg,sports,tennis,107,23,154,0.545454545454545,0.694805194805195,655.627118644068
000000054082.jpg,food,cake,57,8,92,0.532608695652174,0.619565217391304,708.866666666667
000000055642.jpg,vehicle,train,67,12,91,0.604395604395604,0.736263736263736,622.973333333333
000000056848.jpg,sports,soccer,71,23,83,0.578313253012048,0.855421686746988,584.644444444444
000000056868.jpg,sports,frisbee,37,6,65,0.476923076923077,0.569230769230769,653.279069767442
000000057185.jpg,sports,rugby,55,20,73,0.47945205479452,0.753424657534247,724.573529411765
000000058157.jpg,sports,frisbee,61,15,88,0.522727272727273,0.693181818181818,712.891891891892
000000062664.jpg,animal,horse,70,4,89,0.741573033707865,0.786516853932584,671.388059701493
000000063299.jpg,sports,surfing,50,8,73,0.575342465753425,0.684931506849315,690.214285714286
000000063485.jpg,food,sandwich,75,9,82,0.804878048780488,0.914634146341463,622.205128205128
000000065962.jpg,vehicle,bus,66,8,87,0.666666666666667,0.758620689655172,661.739130434783
000000067082.jpg,animal,cow,56,21,84,0.416666666666667,0.666666666666667,608.257142857143
000000067786.jpg,animal,elephant,134,23,153,0.725490196078431,0.875816993464052,639.427631578947
000000073669.jpg,animal,horse,64,4,73,0.821917808219178,0.876712328767123,611.815384615385
000000074533.jpg,vehicle,train,89,12,159,0.484276729559748,0.559748427672956,725.917525773196
000000075611.jpg,animal,horse,61,11,87,0.574712643678161,0.701149425287356,679.791044776119
000000080363.jpg,animal,cow,50,7,71,0.605633802816901,0.704225352112676,652.259259259259
000000083142.jpg,animal,zebra,51,5,73,0.63013698630137,0.698630136986301,636.018518518519
000000083619.jpg,food,pizza,61,11,85,0.588235294117647,0.717647058823529,619.388059701493
000000086210.jpg,vehicle,car,105,17,150,0.586666666666667,0.7,671.230088495575
000000087383.jpg,food,apple,45,11,71,0.47887323943662,0.633802816901409,701.018181818182
000000089320.jpg,food,broccoli,110,35,157,0.477707006369427,0.700636942675159,656.808823529412
000000094716.jpg,animal,cow,63,3,88,0.681818181818182,0.715909090909091,656.484375
000000095321.jpg,sports,soccer,54,8,90,0.511111111111111,0.6,655.929824561404
000000095814.jpg,animal,zebra,70,21,87,0.563218390804598,0.804597701149425,582.666666666667
000000096046.jpg,food,donut,74,21,85,0.623529411764706,0.870588235294118,624.386363636364
000000097778.jpg,food,donut,45,7,78,0.487179487179487,0.576923076923077,709.48
000000102741.jpg,vehicle,car,51,5,83,0.55421686746988,0.614457831325301,634.094339622642
000000105952.jpg,vehicle,train,26,4,74,0.297297297297297,0.351351351351351,710.866666666667
