image_file,category,subcategory,current_height,current_width,source,searched_label,resize_factor,H,FA,n_resp,memorability_wo_fa_correction,memorability_w_fa_correction,memoir_h,memoir_f,memoir_nresp,memoir_mem_score_yfa,memoir_mem_score_nfa,mean_response_time
000000003832.jpg,vehicle,pleasure boat,426.0,640.0,coco,boat,1.0,63,5,80,0.7875,0.725,44.0,19.0,68.0,0.36764705882352944,0.6470588235294118,657.360655737705
000000005099.jpg,animal,sheep,424.0,640.0,coco,sheep,1.0,71,3,111,0.63963963963964,0.612612612612613,90.0,13.0,146.0,0.5273972602739726,0.6164383561643836,666.2061855670103
000000009768.jpg,food,banana,425.0,640.0,coco,orange,1.0,83,14,100,0.83,0.69,81.0,16.0,86.0,0.7558139534883721,0.9418604651162791,598.3736263736264
000000010196.jpg,food,orange,443.0,640.0,coco,orange,1.0,81,5,103,0.786407766990291,0.737864077669903,68.0,9.0,84.0,0.7023809523809523,0.8095238095238095,605.5138888888889
000000011373.jpg,animal,sheep,480.0,640.0,coco,sheep,1.0,80,6,85,0.941176470588235,0.870588235294118,66.0,19.0,86.0,0.5465116279069767,0.7674418604651163,653.3
000000019579.jpg,food,sandwich,375.0,500.0,coco,sandwich,1.0,85,5,104,0.817307692307692,0.769230769230769,58.0,18.0,73.0,0.547945205479452,0.7945205479452054,645.8450704225352
000000021048.jpg,animal,dog,392.0,500.0,coco,dog,1.0,73,2,95,0.768421052631579,0.747368421052632,62.0,3.0,85.0,0.6941176470588235,0.7294117647058823,752.655737704918
000000025358.jpg,sports,soccer,427.0,640.0,coco,sports ball,1.0,61,15,99,0.616161616161616,0.464646464646465,52.0,15.0,81.0,0.4567901234567901,0.6419753086419753,668.2698412698413
000000027482.jpg,sports,skateboarding,480.0,640.0,coco,skateboard,1.0,94,4,112,0.839285714285714,0.803571428571429,69.0,8.0,83.0,0.7349397590361446,0.8313253012048193,656.2602739726027
000000027798.jpg,sports,skiing,359.0,640.0,coco,skis,1.0,49,2,97,0.505154639175258,0.484536082474227,41.0,9.0,71.0,0.4507042253521127,0.5774647887323944,702.0851063829788
000000028864.jpg,food,apple,384.0,500.0,coco,apple,1.0,70,7,85,0.823529411764706,0.741176470588235,64.0,7.0,85.0,0.6705882352941176,0.7529411764705882,628.8923076923077
000000033633.jpg,food,sandwich,480.0,640.0,coco,sandwich,1.0,99,3,105,0.942857142857143,0.914285714285714,130.0,35.0,154.0,0.6168831168831169,0.8441558441558441,648.1866666666666
000000035156.jpg,animal,sheep,426.0,640.0,coco,sheep,1.0,80,3,109,0.73394495412844,0.706422018348624,50.0,4.0,84.0,0.5476190476190477,0.5952380952380952,608.9803921568628
000000036544.jpg,food,cake,480.0,640.0,coco,cake,1.0,71,0,77,0.922077922077922,0.922077922077922,137.0,12.0,156.0,0.8012820512820513,0.8782051282051282,644.1029411764706
000000037823.jpg,animal,sheep,480.0,640.0,coco,sheep,1.0,85,2,97,0.876288659793814,0.855670103092783,65.0,12.0,77.0,0.6883116883116883,0.8441558441558441,649.3150684931506
000000043655.jpg,animal,cat,383.0,640.0,coco,cat,1.0,110,4,116,0.948275862068966,0.913793103448276,131.0,11.0,148.0,0.8108108108108109,0.8851351351351351,700.1925925925926
000000043758.jpg,animal,sheep,426.0,640.0,coco,sheep,1.0,52,3,83,0.626506024096386,0.590361445783133,100.0,24.0,148.0,0.5135135135135135,0.6756756756756757,661.09243697479
000000045599.jpg,animal,giraffe,480.0,640.0,coco,giraffe,1.0,102,10,113,0.902654867256637,0.814159292035398,71.0,13.0,83.0,0.6987951807228916,0.8554216867469879,573.493670886076
000000045617.jpg,animal,elephant,320.0,480.0,coco,elephant,1.0,79,11,111,0.711711711711712,0.612612612612613,64.0,17.0,83.0,0.5662650602409639,0.7710843373493976,650.5897435897435
000000047907.jpg,food,orange,480.0,640.0,coco,orange,1.0,100,1,110,0.909090909090909,0.9,74.0,4.0,88.0,0.7954545454545454,0.8409090909090909,627.972972972973
000000053360.jpg,sports,tennis,427.0,640.0,coco,tennis racket,1.0,65,0,87,0.747126436781609,0.747126436781609,107.0,23.0,154.0,0.5454545454545454,0.6948051948051948,655.6271186440678
000000054082.jpg,food,cake,426.0,640.0,coco,cake,1.0,77,2,102,0.754901960784314,0.735294117647059,57.0,8.0,92.0,0.532608695652174,0.6195652173913043,708.8666666666667
000000055642.jpg,vehicle,train,480.0,640.0,coco,train,1.0,84,1,102,0.823529411764706,0.813725490196078,67.0,12.0,91.0,0.6043956043956044,0.7362637362637363,622.9733333333334
000000056848.jpg,sports,soccer,427.0,640.0,coco,sports ball,1.0,97,21,108,0.898148148148148,0.703703703703704,71.0,23.0,83.0,0.5783132530120482,0.8554216867469879,584.6444444444444
000000056868.jpg,sports,frisbee,333.0,500.0,coco,frisbee,1.0,50,4,82,0.609756097560976,0.560975609756098,37.0,6.0,65.0,0.47692307692307695,0.5692307692307692,653.2790697674419
000000057185.jpg,sports,rugby,427.0,640.0,coco,sports ball,1.0,93,8,119,0.781512605042017,0.714285714285714,55.0,20.0,73.0,0.4794520547945205,0.7534246575342466,724.5735294117648
000000058157.jpg,sports,frisbee,360.0,640.0,coco,frisbee,1.0,59,10,98,0.602040816326531,0.5,61.0,15.0,88.0,0.5227272727272727,0.6931818181818182,712.8918918918919
000000062664.jpg,animal,horse,427.0,640.0,coco,horse,1.0,84,0,96,0.875,0.875,70.0,4.0,89.0,0.7415730337078652,0.7865168539325843,671.3880597014926
000000063299.jpg,sports,surfing,360.0,640.0,coco,surfboard,1.0,55,3,104,0.528846153846154,0.5,50.0,8.0,73.0,0.5753424657534246,0.684931506849315,690.2142857142857
000000063485.jpg,food,sandwich,427.0,640.0,coco,sandwich,1.0,81,1,93,0.870967741935484,0.860215053763441,75.0,9.0,82.0,0.8048780487804879,0.9146341463414634,622.2051282051282
000000065962.jpg,vehicle,bus,361.0,640.0,coco,bus,1.0,60,10,86,0.697674418604651,0.581395348837209,66.0,8.0,87.0,0.6666666666666666,0.7586206896551724,661.7391304347826
000000067082.jpg,animal,cow,422.0,640.0,coco,cow,1.0,50,7,104,0.480769230769231,0.413461538461538,56.0,21.0,84.0,0.4166666666666667,0.6666666666666666,608.2571428571429
000000067786.jpg,animal,elephant,415.0,640.0,coco,elephant,1.0,73,6,89,0.820224719101124,0.752808988764045,134.0,23.0,153.0,0.7254901960784313,0.8758169934640523,639.4276315789474
000000073669.jpg,animal,horse,427.0,640.0,coco,horse,1.0,93,0,103,0.902912621359223,0.902912621359223,64.0,4.0,73.0,0.821917808219178,0.8767123287671232,611.8153846153846
000000074533.jpg,vehicle,train,425.0,640.0,coco,train,1.0,48,5,91,0.527472527472527,0.472527472527473,89.0,12.0,159.0,0.48427672955974843,0.559748427672956,725.9175257731958
000000075611.jpg,animal,horse,427.0,640.0,coco,horse,1.0,78,7,101,0.772277227722772,0.702970297029703,61.0,11.0,87.0,0.5747126436781609,0.7011494252873564,679.7910447761194
000000080363.jpg,animal,cow,480.0,640.0,coco,cow,1.0,86,5,104,0.826923076923077,0.778846153846154,50.0,7.0,71.0,0.6056338028169014,0.704225352112676,652.2592592592592
000000083142.jpg,animal,zebra,480.0,640.0,coco,zebra,1.0,105,6,122,0.860655737704918,0.811475409836066,51.0,5.0,73.0,0.6301369863013698,0.6986301369863014,636.0185185185185
000000083619.jpg,food,pizza,426.0,640.0,coco,pizza,1.0,70,7,99,0.707070707070707,0.636363636363636,61.0,11.0,85.0,0.5882352941176471,0.7176470588235294,619.3880597014926
000000086210.jpg,vehicle,car,480.0,640.0,coco,car,1.0,59,6,93,0.634408602150538,0.56989247311828,105.0,17.0,150.0,0.5866666666666667,0.7,671.2300884955753
000000087383.jpg,food,apple,480.0,640.0,coco,apple,1.0,65,4,90,0.722222222222222,0.677777777777778,45.0,11.0,71.0,0.4788732394366197,0.6338028169014085,701.0181818181818
000000089320.jpg,food,broccoli,480.0,640.0,coco,broccoli,1.0,72,8,95,0.757894736842105,0.673684210526316,110.0,35.0,157.0,0.47770700636942676,0.7006369426751592,656.8088235294117
000000094716.jpg,animal,cow,427.0,640.0,coco,cow,1.0,62,0,90,0.688888888888889,0.688888888888889,63.0,3.0,88.0,0.6818181818181818,0.7159090909090909,656.484375
000000095321.jpg,sports,soccer,426.0,640.0,coco,sports ball,1.0,55,5,93,0.591397849462366,0.537634408602151,54.0,8.0,90.0,0.5111111111111111,0.6,655.9298245614035
000000095814.jpg,animal,zebra,480.0,640.0,coco,zebra,1.0,77,25,89,0.865168539325843,0.584269662921348,70.0,21.0,87.0,0.5632183908045977,0.8045977011494253,582.6666666666666
000000096046.jpg,food,donut,480.0,640.0,coco,donut,1.0,98,8,110,0.890909090909091,0.818181818181818,74.0,21.0,85.0,0.6235294117647059,0.8705882352941177,624.3863636363636
000000097778.jpg,food,donut,426.0,640.0,coco,donut,1.0,63,4,89,0.707865168539326,0.662921348314607,45.0,7.0,78.0,0.48717948717948717,0.5769230769230769,709.48
000000102741.jpg,vehicle,car,427.0,640.0,coco,bicycle,1.0,73,3,103,0.70873786407767,0.679611650485437,51.0,5.0,83.0,0.5542168674698795,0.6144578313253012,634.0943396226415
000000105952.jpg,vehicle,train,401.0,640.0,coco,train,1.0,48,2,77,0.623376623376623,0.597402597402597,26.0,4.0,74.0,0.2972972972972973,0.35135135135135137,710.8666666666667
000000110159.jpg,vehicle,motorcycle,427.0,640.0,coco,motorcycle,1.0,75,5,87,0.862068965517241,0.804597701149425,62.0,6.0,82.0,0.6829268292682927,0.7560975609756098,661.203125
000000110697.jpg,food,sandwich,480.0,640.0,coco,sandwich,1.0,85,2,92,0.923913043478261,0.902173913043478,70.0,10.0,77.0,0.7792207792207793,0.9090909090909091,704.4666666666667
000000111224.jpg,sports,soccer,427.0,640.0,coco,sports ball,1.0,87,6,101,0.861386138613861,0.801980198019802,71.0,18.0,88.0,0.6022727272727273,0.8068181818181818,668.7590361445783
000000113455.jpg,vehicle,motorcycle,427.0,640.0,coco,motorcycle,1.0,81,10,104,0.778846153846154,0.682692307692308,65.0,16.0,86.0,0.5697674418604651,0.7558139534883721,652.5416666666666
000000113852.jpg,animal,cow,471.0,640.0,coco,cow,1.0,62,0,102,0.607843137254902,0.607843137254902,101.0,18.0,153.0,0.5424836601307189,0.6601307189542484,643.5495495495495
000000116572.jpg,food,sandwich,428.0,640.0,coco,sandwich,1.0,85,3,138,0.615942028985507,0.594202898550725,109.0,22.0,152.0,0.5723684210526315,0.7171052631578947,685.008
000000117407.jpg,animal,cat,426.0,640.0,coco,cat,1.0,76,4,105,0.723809523809524,0.685714285714286,67.0,13.0,82.0,0.6585365853658537,0.8170731707317073,662.2933333333333
000000117417.jpg,sports,tennis,500.0,494.0,coco,tennis racket,1.0,77,1,95,0.810526315789474,0.8,56.0,4.0,75.0,0.6933333333333334,0.7466666666666667,635.6607142857143
000000117965.jpg,animal,sheep,450.0,640.0,coco,sheep,1.0,113,6,118,0.957627118644068,0.906779661016949,125.0,19.0,152.0,0.6973684210526315,0.8223684210526315,644.3533834586466
000000118543.jpg,food,broccoli,480.0,640.0,coco,broccoli,1.0,102,1,110,0.927272727272727,0.918181818181818,59.0,9.0,69.0,0.7246376811594203,0.855072463768116,662.4666666666667
000000121827.jpg,sports,surfing,386.0,640.0,coco,surfboard,1.0,77,5,98,0.785714285714286,0.73469387755102,57.0,10.0,72.0,0.6527777777777778,0.7916666666666666,645.0655737704918
000000123891.jpg,animal,bear,480.0,640.0,coco,bear,1.0,74,4,107,0.691588785046729,0.654205607476635,62.0,20.0,81.0,0.5185185185185185,0.7654320987654321,644.9620253164557
000000124841.jpg,sports,American football,456.0,640.0,coco,sports ball,1.0,63,1,91,0.692307692307692,0.681318681318681,56.0,6.0,87.0,0.5747126436781609,0.6436781609195402,738.8103448275862
000000125499.jpg,food,apple,491.0,640.0,coco,apple,1.0,83,3,100,0.83,0.8,69.0,5.0,80.0,0.8,0.8625,652.5797101449275
